Month,Category,Amount
2024-07,Activities,-375.26
2024-08,Activities,-1025.03
2024-09,Activities,-354.88
2024-10,Activities,-320.07
2024-10,Admin,-78.00
2024-07,Credit card,744.00
2024-08,Credit card,0.00
2024-09,Credit card,0.00
2024-10,Doctor,-256.70
2024-08,Entertainment,-130.97
2024-10,Entertainment,-52.25
2024-07,Groceries,-429.91
2024-08,Groceries,-825.71
2024-09,Groceries,-477.64
2024-10,Groceries,-516.50
2024-07,Holiday,-367.81
2024-10,Holiday,-128.90
2024-07,Income,5632.23
2024-08,Income,5621.03
2024-09,Income,5466.23
2024-10,Income,1766.91
2024-08,Miscellaneous,-61.64
2024-07,Pay lara,-393.00
2024-08,Pay lara,-399.00
2024-09,Pay lara,-300.00
2024-10,Pay lara,-1386.89
2024-08,Pay mom,-25.00
2024-07,Pay nicholas,-94.00
2024-08,Pay nicholas,-892.00
2024-09,Pay nicholas,-497.86
2024-10,Pay nicholas,-85.00
2024-09,Refunds,239.35
2024-07,Rent,-2100.00
2024-08,Rent,-2100.00
2024-09,Rent,-4200.00
2024-07,Shopping,-1199.68
2024-08,Shopping,-1901.00
2024-09,Shopping,1287.50
2024-10,Shopping,-751.93
2024-07,Subscriptions,-688.51
2024-08,Subscriptions,-672.93
2024-09,Subscriptions,-677.90
2024-10,Subscriptions,-673.03
2024-07,Toiletries,-13.55
2024-08,Toiletries,-39.99
2024-09,Toiletries,-123.00
2024-10,Toiletries,-11.55
2024-07,Transportation,-454.25
2024-08,Transportation,-477.59
2024-09,Transportation,-560.71
2024-10,Transportation,-312.95
2024-07,Uncategorized,-6.00
2024-08,Uncategorized,-65.23
2024-09,Uncategorized,-3.50
2024-10,Uncategorized,-11.52
2024-07,Utilities,-47.56
2024-08,Utilities,-308.13
2024-09,Utilities,-720.50
2024-10,Utilities,-155.00
