Date,Month,FileOrigin,Description,Amount,Category
2024-07-07,2024-07,Monzo,MGP*Vinted             London        GBR,-0.10,Shopping
2024-07-07,2024-07,Monzo,MGP*Vinted             London        GBR,0.10,Shopping
2024-07-07,2024-07,Monzo,MGP*Vinted 99917365    London        GBR,-12.00,Shopping
2024-07-07,2024-07,Monzo,,30.00,Uncategorized
2024-07-07,2024-07,Monzo,,-30.00,Uncategorized
2024-07-07,2024-07,Monzo,,-12.00,Uncategorized
2024-07-08,2024-07,Amex,3CPAYMENT*PRET A MANGER LONDON,5.99,Food & Drink
2024-07-08,2024-07,Monzo,FOOD VILLAGE LCA AIRPO LARNACA       CYP,-8.23,Food & Drink
2024-07-08,2024-07,Amex,PAYMENT RECEIVED - THANK YOU,-200.00,Income
2024-07-08,2024-07,Monzo,MGP*Vinted 99966429    London        GBR,-142.39,Shopping
2024-07-08,2024-07,Monzo,MGP*Vinted             London        GBR,-173.89,Shopping
2024-07-08,2024-07,Monzo,MGP*Vinted             London        GBR,-8.85,Shopping
2024-07-08,2024-07,Monzo,MGP*Vinted             London        GBR,-24.60,Shopping
2024-07-08,2024-07,Amex,AMZNMKTPLACE*Q189V2NB5  AMAZON.CO.UK,31.55,Shopping
2024-07-08,2024-07,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.90,Transportation & Travel
2024-07-08,2024-07,Amex,TRAINLINE trainline     LONDON,12.10,Transportation & Travel
2024-07-08,2024-07,Monzo,,6.00,Uncategorized
2024-07-08,2024-07,Monzo,Boost,-6.00,Utilities & Bills
2024-07-09,2024-07,Amex,"DISNEY PLUS             HAMMERSMITH, LO",7.99,Entertainment & Subscriptions
2024-07-09,2024-07,Amex,3CPAYMENT*PRET A MANGER LONDON,5.50,Food & Drink
2024-07-09,2024-07,Amex,SAINSBURY'S SPRMRKTS LT LONDON,1.20,Food & Drink
2024-07-09,2024-07,Amex,WAITROSE CROUCH END     CROUCH END,18.47,Food & Drink
2024-07-09,2024-07,Monzo,MGP-VINTED\109 Kesperry House\London\SE13XB       GBR,142.39,Shopping
2024-07-09,2024-07,Monzo,MGP*Vinted             London        GBR,-25.65,Shopping
2024-07-09,2024-07,Monzo,MGP*Vinted             London        GBR,-27.32,Shopping
2024-07-09,2024-07,Amex,ORDER 69205996 17205415 720541544975,70.00,Shopping
2024-07-09,2024-07,Monzo,BATH POTTERS SUPPLIES\18 FORTH AVENUE\RADSTOCK\BA3 4XE   GBRGBR,20.44,Shopping
2024-07-09,2024-07,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.40,Transportation & Travel
2024-07-09,2024-07,Monzo,Flex,484.02,Utilities & Bills
2024-07-10,2024-07,Amex,J and R Kiosk           London,1.30,Food & Drink
2024-07-10,2024-07,Amex,SAINSBURYS ONLINE       LONDON,97.56,Food & Drink
2024-07-10,2024-07,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.70,Transportation & Travel
2024-07-11,2024-07,Amex,3CPAYMENT*PRET A MANGER LONDON,3.80,Food & Drink
2024-07-11,2024-07,Amex,SUMUP*NKORA LIMITED     ST ALBANS,4.00,Shopping
2024-07-11,2024-07,Amex,LIME*PASS               LONDON,36.99,Transportation & Travel
2024-07-11,2024-07,Amex,LIME*RIDE               LONDON,12.18,Transportation & Travel
2024-07-12,2024-07,Amex,J and R Kiosk           London,2.30,Food & Drink
2024-07-12,2024-07,Amex,J and R Kiosk           London,3.50,Food & Drink
2024-07-12,2024-07,Amex,M&S CROUCH END SIMPLY F LONDON,58.95,Food & Drink
2024-07-12,2024-07,Amex,POPHAMS HACKNEY         London,3.80,Food & Drink
2024-07-12,2024-07,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.90,Transportation & Travel
2024-07-13,2024-07,Amex,ZETTLE *TURNING EARTH C LONDON,18.00,Entertainment & Subscriptions
2024-07-14,2024-07,Amex,GAIL'S CROUCH END       LONDON,15.05,Food & Drink
2024-07-14,2024-07,Amex,AIRBNB * HM9CMRJQYE     LONDON,325.35,Transportation & Travel
2024-07-14,2024-07,Amex,LIME*PASS               LONDON,36.99,Transportation & Travel
2024-07-14,2024-07,Amex,LIME*RIDE               LONDON,0.57,Transportation & Travel
2024-07-15,2024-07,Monzo,WETRANSFER             +31208100779  NLD,-11.00,Entertainment & Subscriptions
2024-07-15,2024-07,Amex,SAINSBURY'S SPRMRKTS LT LONDON,4.20,Food & Drink
2024-07-15,2024-07,Monzo,,500.00,Uncategorized
2024-07-16,2024-07,Monzo,"Adobe.com              Saggart, Dubl IRL",-19.97,Entertainment & Subscriptions
2024-07-16,2024-07,Amex,J and R Kiosk           London,2.30,Food & Drink
2024-07-16,2024-07,Amex,SAINSBURY'S SPRMRKTS LT LONDON,4.20,Food & Drink
2024-07-16,2024-07,Monzo,CONNOLLY,11.00,Shopping
2024-07-16,2024-07,Monzo,APPLE.COM/BILL         APPLE.COM/BIL IRL,-8.99,Shopping
2024-07-16,2024-07,Amex,SIDNEY ROSE             LONDON,2.40,Shopping
2024-07-16,2024-07,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.70,Transportation & Travel
2024-07-16,2024-07,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.40,Transportation & Travel
2024-07-17,2024-07,Amex,M&S CROUCH END SIMPLY F LONDON,21.20,Food & Drink
2024-07-17,2024-07,Amex,SAINSBURY'S SPRMRKTS LT LONDON,4.20,Food & Drink
2024-07-17,2024-07,Monzo,EE TOPUP  VESTA        EE.CO.UK      GBR,-13.50,Shopping
2024-07-17,2024-07,Amex,APPLE.COM/BILL          HOLLYHILL,19.99,Shopping
2024-07-18,2024-07,Amex,SAINSBURY'S SPRMRKTS LT LONDON,5.20,Food & Drink
2024-07-18,2024-07,Monzo,PPOINT_*CU CONVENIENCE London        GBR,-4.08,Shopping
2024-07-18,2024-07,Monzo,PPOINT_*H V Kingsley 3 London        GBR,-2.20,Shopping
2024-07-19,2024-07,Amex,ZETTLE *TERENCE FOX     LONDON,2.00,Entertainment & Subscriptions
2024-07-19,2024-07,Monzo,SIDNEY ROSE            LONDON  W1S   GBR,-1.20,Shopping
2024-07-19,2024-07,Monzo,BATH POTTERS SUPPLIES  RADSTOCK      GBR,-41.26,Shopping
2024-07-19,2024-07,Amex,AMZNMKTPLACE*6T4IX7B85  AMAZON.CO.UK,59.95,Shopping
2024-07-19,2024-07,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.40,Transportation & Travel
2024-07-20,2024-07,Monzo,Zettle_*TURNING EARTH  LONDON        GBR,-54.00,Entertainment & Subscriptions
2024-07-20,2024-07,Amex,Crouch End Greens LTD   London,1.29,Food & Drink
2024-07-20,2024-07,Amex,M&S CROUCH END SIMPLY F LONDON,50.45,Food & Drink
2024-07-20,2024-07,Monzo,PPOINT_*CU CONVENIENCE London        GBR,-5.48,Shopping
2024-07-21,2024-07,Amex,GAIL'S HAMPSTEAD        LONDON,6.85,Food & Drink
2024-07-22,2024-07,Amex,TURNING EARTH LEYTON    LONDON,245.00,Entertainment & Subscriptions
2024-07-22,2024-07,Monzo,MGP*Vinted             London        GBR,-9.99,Shopping
2024-07-22,2024-07,Monzo,VG0707304000824851,-0.28,Uncategorized
2024-07-23,2024-07,Monzo,Park Local Express     London        GBR,-3.18,Food & Drink
2024-07-23,2024-07,Monzo,Park Local Express     London        GBR,-2.99,Food & Drink
2024-07-23,2024-07,Amex,THE SERVICE LONDON LTD  Mayfair,3.80,Food & Drink
2024-07-23,2024-07,Amex,APPLE.COM/BILL          HOLLYHILL,2.99,Shopping
2024-07-23,2024-07,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.10,Transportation & Travel
2024-07-23,2024-07,Monzo,AIRBNB * HM9PYXTY3Q\34 Dover St 5th Floor\203-318-1111\W1S 4NG   GBRGBR,155.79,Transportation & Travel
2024-07-23,2024-07,Monzo,Flex,-155.79,Utilities & Bills
2024-07-24,2024-07,Amex,SAINSBURY'S SPRMRKTS LT LONDON,5.20,Food & Drink
2024-07-24,2024-07,Amex,SAINSBURYS ONLINE       LONDON,-98.97,Food & Drink
2024-07-24,2024-07,Amex,SAINSBURYS ONLINE       LONDON,98.97,Food & Drink
2024-07-24,2024-07,Monzo,PPOINT_*CU CONVENIENCE London        GBR,-6.66,Shopping
2024-07-24,2024-07,Amex,AIRBNB * HM9CMRJQYE     LONDON,-59.78,Transportation & Travel
2024-07-24,2024-07,Monzo,AIRBNB * HM2AXNX399\34 Dover St 5th Floor\203-318-1111\W1S 4NG   GBRGBR,157.67,Transportation & Travel
2024-07-24,2024-07,Monzo,Flex,-157.67,Utilities & Bills
2024-07-25,2024-07,Amex,SAINSBURY'S SPRMRKTS LT LONDON,3.20,Food & Drink
2024-07-25,2024-07,Monzo,PAYROLL,1766.91,Income
2024-07-25,2024-07,Amex,PAYMENT RECEIVED - THANK YOU,-218.00,Income
2024-07-25,2024-07,Monzo,PPOINT_*CU CONVENIENCE London        GBR,-16.47,Shopping
2024-07-25,2024-07,Monzo,LONDON OVERGROUND SST  CROUCH HILL   GBR,-13.40,Transportation & Travel
2024-07-25,2024-07,Amex,LIME*PASS               LONDON,36.99,Transportation & Travel
2024-07-25,2024-07,Amex,LIME*RIDE               LONDON,2.90,Transportation & Travel
2024-07-25,2024-07,Amex,LIME*RIDE               LONDON,3.61,Transportation & Travel
2024-07-25,2024-07,Amex,LIME*RIDE               LONDON,4.06,Transportation & Travel
2024-07-25,2024-07,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.90,Transportation & Travel
2024-07-26,2024-07,Monzo,The Woodman            London        GBR,-10.85,Food & Drink
2024-07-26,2024-07,Monzo,The Woodman            London        GBR,-51.91,Food & Drink
2024-07-26,2024-07,Amex,AMZNMKTPLACE*LE6FU6355  AMAZON.CO.UK,55.84,Shopping
2024-07-26,2024-07,Amex,LIME*PASS               LONDON,36.99,Transportation & Travel
2024-07-27,2024-07,Monzo,Microsoft*EA Play 1 Mo msbill.info   GBR,-5.99,Entertainment & Subscriptions
2024-07-27,2024-07,Amex,ZETTLE *TURNING EARTH C LONDON,15.00,Entertainment & Subscriptions
2024-07-27,2024-07,Amex,GAIL'S CROUCH END       LONDON,12.50,Food & Drink
2024-07-27,2024-07,Amex,SAINSBURYS ONLINE       LONDON,95.96,Food & Drink
2024-07-27,2024-07,Monzo,MGP*Vinted             London        GBR,-5.79,Shopping
2024-07-27,2024-07,Monzo,MGP*Vinted             London        GBR,-8.64,Shopping
2024-07-27,2024-07,Monzo,MGP*Vinted             London        GBR,-28.80,Shopping
2024-07-27,2024-07,Monzo,MGP*Vinted             London        GBR,-7.89,Shopping
2024-07-27,2024-07,Monzo,MGP*Vinted             London        GBR,-8.85,Shopping
2024-07-27,2024-07,Monzo,MGP*Vinted             London        GBR,-6.84,Shopping
2024-07-27,2024-07,Monzo,PPOINT_*CU CONVENIENCE London        GBR,-1.50,Shopping
2024-07-27,2024-07,Monzo,,-1800.00,Uncategorized
2024-07-28,2024-07,Monzo,THE COCK INN           RICKMANSWORTH GBR,-16.35,Food & Drink
2024-07-28,2024-07,Monzo,THE COCK INN           RICKMANSWORTH GBR,-8.95,Food & Drink
2024-07-28,2024-07,Amex,3CPAYMENT*PRET A MANGER LONDON,5.59,Food & Drink
2024-07-28,2024-07,Monzo,MGP*Vinted             London        GBR,-6.75,Shopping
2024-07-28,2024-07,Monzo,MGP*Vinted 99920294    London        GBR,-35.05,Shopping
2024-07-28,2024-07,Monzo,MGP*Vinted             London        GBR,-28.80,Shopping
2024-07-28,2024-07,Monzo,TfL Travel Charge      TFL.gov.uk/CP GBR,-6.70,Transportation & Travel
2024-07-28,2024-07,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.70,Transportation & Travel
2024-07-28,2024-07,Monzo,,-192.00,Uncategorized
2024-07-28,2024-07,Monzo,Flex,197.58,Utilities & Bills
2024-07-29,2024-07,Monzo,GOOGLE *Google One     650-253-0000  GBR,-7.89,Entertainment & Subscriptions
2024-07-29,2024-07,Monzo,SAINSBURYS- FETTER LAN LONDON        GBR,-2.85,Food & Drink
2024-07-29,2024-07,Monzo,MGP*Vinted             London        GBR,-56.10,Shopping
2024-07-29,2024-07,Amex,AIRBNB * HM9CMRJQYE     LONDON,-50.39,Transportation & Travel
2024-07-30,2024-07,Amex,PAYMENT RECEIVED - THANK YOU,-326.00,Income
2024-07-30,2024-07,Monzo,PPOINT_*CU CONVENIENCE London        GBR,-25.16,Shopping
2024-07-30,2024-07,Amex,AIRBNB * HMJ3XANJDB     LONDON,481.00,Transportation & Travel
2024-07-30,2024-07,Amex,TRAINLINE trainline     LONDON,102.89,Transportation & Travel
2024-07-30,2024-07,Monzo,AIRBNB * HM9CMRJQYE\34 Dover St 5th Floor\203-318-1111\W1S 4NG   GBRGBR,325.35,Transportation & Travel
2024-07-30,2024-07,Monzo,300 0110 745176066,-41.62,Uncategorized
2024-07-30,2024-07,Monzo,9TA94DV,-18.45,Uncategorized
2024-07-30,2024-07,Monzo,Flex,-325.35,Utilities & Bills
2024-07-31,2024-07,Amex,Crouch End Greens LTD   London,12.06,Food & Drink
2024-07-31,2024-07,Amex,M&S CROUCH END SIMPLY F LONDON,26.45,Food & Drink
2024-07-31,2024-07,Monzo,Payroll July 2024,3854.32,Income
2024-07-31,2024-07,Amex,PAYMENT RECEIVED - THANK YOU,-2404.68,Income
2024-07-31,2024-07,Monzo,MGP*Vinted             London        GBR,-14.19,Shopping
2024-07-31,2024-07,Monzo,MGP*Vinted             London        GBR,-12.00,Shopping
2024-07-31,2024-07,Monzo,PB620943295620576,-2404.68,Uncategorized
2024-07-31,2024-07,Monzo,,-10.00,Uncategorized
2024-07-31,2024-07,Monzo,,-1300.00,Uncategorized
2024-07-31,2024-07,Monzo,Flex,2.20,Utilities & Bills
2024-08-01,2024-08,Monzo,J and R Kiosk          London        GBR,-1.30,Food & Drink
2024-08-01,2024-08,Monzo,1 Montenotte Rent,-2100.00,Housing & Rent
2024-08-01,2024-08,Amex,ZETTLE *R DOREY         WELWYN GARDEN,2.50,Shopping
2024-08-01,2024-08,Monzo,MGP*Vinted             London        GBR,-12.64,Shopping
2024-08-01,2024-08,Monzo,MGP*Vinted             London        GBR,-83.35,Shopping
2024-08-01,2024-08,Monzo,MGP*Vinted             London        GBR,-6.65,Shopping
2024-08-01,2024-08,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.40,Transportation & Travel
2024-08-01,2024-08,Monzo,,20.00,Uncategorized
2024-08-01,2024-08,Monzo,,10.00,Uncategorized
2024-08-01,2024-08,Monzo,,102.89,Uncategorized
2024-08-01,2024-08,Monzo,,2000.00,Uncategorized
2024-08-01,2024-08,Monzo,OVO Energy Ltd         Bristol       GBR,-180.66,Utilities & Bills
2024-08-02,2024-08,Amex,AMAZON PRIME*266YX2JG5  AMZN.CO.UK/PM,8.99,Entertainment & Subscriptions
2024-08-02,2024-08,Monzo,J and R Kiosk          London        GBR,-1.30,Food & Drink
2024-08-02,2024-08,Amex,J and R Kiosk           London,1.30,Food & Drink
2024-08-02,2024-08,Amex,HUMAN FOREST            LONDON,1.00,Miscellaneous
2024-08-02,2024-08,Amex,AMZNMKTPLACE*7W3ID08B5  AMAZON.CO.UK,170.66,Shopping
2024-08-02,2024-08,Amex,TRADEINN RETAL SERVICES CELRA,128.25,Shopping
2024-08-02,2024-08,Amex,ZETTLE *MATT SUGARPANTS LONDON,3.00,Shopping
2024-08-02,2024-08,Monzo,PPOINT_*CU CONVENIENCE London        GBR,-24.98,Shopping
2024-08-02,2024-08,Monzo,MGP*Vinted             London        GBR,-10.95,Shopping
2024-08-02,2024-08,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.40,Transportation & Travel
2024-08-03,2024-08,Amex,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,19.45,Entertainment & Subscriptions
2024-08-03,2024-08,Amex,Crouch End Greens LTD   London,2.88,Food & Drink
2024-08-03,2024-08,Amex,GAIL'S CROUCH END       LONDON,8.80,Food & Drink
2024-08-03,2024-08,Amex,GAIL'S CROUCH END       LONDON,14.70,Food & Drink
2024-08-03,2024-08,Amex,LIME*RIDE FZY2          LONDON,3.77,Transportation & Travel
2024-08-04,2024-08,Monzo,KEMSING PREMIER        SEVENOAKS     GBR,-4.27,Food & Drink
2024-08-04,2024-08,Monzo,Kemsing News+Wine      Sevenoaks     GBR,-5.98,Food & Drink
2024-08-04,2024-08,Amex,BOOTS THE CHEMIST       LONDON,3.50,Personal Care
2024-08-04,2024-08,Amex,AMZNMKTPLACE*206BM6175  AMAZON.CO.UK,5.03,Shopping
2024-08-04,2024-08,Amex,JOLENE HORNSEY ROAD (BA London,3.90,Transportation & Travel
2024-08-04,2024-08,Amex,JOLENE HORNSEY ROAD (BA London,15.20,Transportation & Travel
2024-08-04,2024-08,Amex,LIME*PASS FZY2          LONDON,36.99,Transportation & Travel
2024-08-04,2024-08,Amex,TRAINLINE trainline     LONDON,21.10,Transportation & Travel
2024-08-05,2024-08,Amex,J and R Kiosk           London,1.30,Food & Drink
2024-08-05,2024-08,Amex,PAYMENT RECEIVED - THANK YOU,-431.53,Income
2024-08-05,2024-08,Monzo,BUY 2 SAVE (GG) LTD    LONDON        GBR,-72.11,Shopping
2024-08-05,2024-08,Monzo,,100.00,Uncategorized
2024-08-05,2024-08,Monzo,,431.00,Uncategorized
2024-08-05,2024-08,Monzo,PB987905984472476,-431.53,Uncategorized
2024-08-05,2024-08,Monzo,VIRGIN MEDIA PYMTS E15 READING       GBR,-28.83,Utilities & Bills
2024-08-06,2024-08,Monzo,Spotify                London        GBR,-19.99,Entertainment & Subscriptions
2024-08-06,2024-08,Amex,WAITROSE CROUCH END     CROUCH END,9.48,Food & Drink
2024-08-06,2024-08,Amex,AMZNMKTPLACE*9Z8Q42MN5  AMAZON.CO.UK,31.24,Shopping
2024-08-06,2024-08,Monzo,,-25.00,Uncategorized
2024-08-07,2024-08,Amex,Crouch End Greens LTD   London,14.90,Food & Drink
2024-08-07,2024-08,Amex,GAUCHO COVENT GARDEN 8- LONDON,323.18,Food & Drink
2024-08-08,2024-08,Amex,J and R Kiosk           London,1.30,Food & Drink
2024-08-08,2024-08,Amex,MARKS AND SPENCER WATER LONDON,10.75,Food & Drink
2024-08-08,2024-08,Amex,SAINSBURY'S SPRMRKTS LT LONDON,4.35,Food & Drink
2024-08-08,2024-08,Monzo,MGP*Vinted             London        GBR,-13.59,Shopping
2024-08-08,2024-08,Monzo,MGP*Vinted             London        GBR,-6.53,Shopping
2024-08-08,2024-08,Monzo,MGP*Vinted             London        GBR,-5.36,Shopping
2024-08-08,2024-08,Monzo,MGP*Vinted             London        GBR,-12.09,Shopping
2024-08-08,2024-08,Monzo,MGP*Vinted             London        GBR,-12.00,Shopping
2024-08-08,2024-08,Monzo,MGP*Vinted             London        GBR,-26.70,Shopping
2024-08-08,2024-08,Monzo,PPOINT_*CU CONVENIENCE London        GBR,-1.99,Shopping
2024-08-08,2024-08,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.70,Transportation & Travel
2024-08-08,2024-08,Amex,WATERLOO                LONDON,14.00,Transportation & Travel
2024-08-09,2024-08,Amex,"DISNEY PLUS             HAMMERSMITH, LO",7.99,Entertainment & Subscriptions
2024-08-09,2024-08,Monzo,SAINSBURYS- FETTER LAN LONDON        GBR,-2.85,Food & Drink
2024-08-09,2024-08,Monzo,CHINATOWN BAKERY       LONDON WC2H   GBR,-2.50,Food & Drink
2024-08-09,2024-08,Amex,Bun House Chinatown     London,50.66,Food & Drink
2024-08-09,2024-08,Amex,J and R Kiosk           London,1.30,Food & Drink
2024-08-09,2024-08,Amex,POPHAMS HACKNEY         London,8.00,Food & Drink
2024-08-09,2024-08,Amex,XING LONG MEN CHINATOWN LONDON,1.50,Food & Drink
2024-08-09,2024-08,Amex,XING LONG MEN CHINATOWN LONDON,29.78,Food & Drink
2024-08-09,2024-08,Monzo,Tianfu                 London        GBR,-7.49,Food & Drink
2024-08-09,2024-08,Amex,ZETTLE *LEIGH BREMNER   MILL HILL EAS,5.00,Shopping
2024-08-09,2024-08,Amex,LIME*PASS FZY2          LONDON,36.99,Transportation & Travel
2024-08-09,2024-08,Amex,LIME*PASS X23Q          LONDON,36.99,Transportation & Travel
2024-08-09,2024-08,Amex,LIME*RIDE FZY2          LONDON,8.41,Transportation & Travel
2024-08-09,2024-08,Amex,LIME*RIDE X23Q          LONDON,8.41,Transportation & Travel
2024-08-09,2024-08,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.00,Transportation & Travel
2024-08-10,2024-08,Monzo,GAILS - CROUCH END     LONDON        GBR,-19.80,Food & Drink
2024-08-10,2024-08,Monzo,GAILS - CROUCH END     LONDON        GBR,-2.95,Food & Drink
2024-08-10,2024-08,Amex,WAITROSE CROUCH END     CROUCH END,3.29,Food & Drink
2024-08-10,2024-08,Monzo,CLOCKTOWER GREENS      LONDON        GBR,-7.88,Food & Drink
2024-08-10,2024-08,Amex,AMAZON.CO.UK*XT5HF46Z5  AMAZON.CO.UK,35.99,Shopping
2024-08-10,2024-08,Amex,AMZNMKTPLACE*318II8S45  AMAZON.CO.UK,9.99,Shopping
2024-08-10,2024-08,Amex,AMZNMKTPLACE*F24PG91A5  AMAZON.CO.UK,29.80,Shopping
